,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
9007,205.44,Entire home,4,-9.14855,38.71518,Lisbon,Misericrdia
9008,416.98,Entire home,6,-9.14759,38.71032,Lisbon,Misericrdia
9009,275.09,Entire home,2,-9.14797,38.71548,Lisbon,Misericrdia
9010,339.12,Entire home,4,-9.15,38.714,Lisbon,Misericrdia
9011,220.45,Entire home,3,-9.15094,38.71612,Lisbon,Santo Antnio
9012,176.36,Entire home,3,-9.14973,38.71058,Lisbon,Misericrdia
9013,286.82,Entire home,6,-9.146,38.71,Lisbon,Misericrdia
9014,223.03,Entire home,2,-9.14948,38.71106,Lisbon,Misericrdia
9015,194.18,Entire home,3,-9.15264,38.71467,Lisbon,Misericrdia
9016,356.71,Entire home,4,-9.14829,38.71057,Lisbon,Misericrdia
9017,368.2,Entire home,2,-9.15114,38.70974,Lisbon,Misericrdia
9018,200.98,Entire home,4,-9.15371,38.71,Lisbon,Estrela
9019,454.27,Entire home,6,-9.098,38.77,Lisbon,Parque das Naes
9020,316.84,Entire home,3,-9.098,38.766,Lisbon,Parque das Naes
9021,199.81,Entire home,4,-9.14739,38.70978,Lisbon,Misericrdia
9022,248.36,Entire home,3,-9.14824,38.71135,Lisbon,Misericrdia
9023,211.3,Private room,2,-9.19828,38.69807,Lisbon,Belm
9024,223.03,Entire home,4,-9.198,38.698,Lisbon,Belm
9025,307.69,Entire home,5,-9.14969,38.70963,Lisbon,Misericrdia
9026,228.66,Entire home,2,-9.15,38.71,Lisbon,Misericrdia
9027,327.63,Entire home,4,-9.146,38.71,Lisbon,Misericrdia
9028,378.52,Entire home,4,-9.15224,38.71433,Lisbon,Misericrdia
9029,112.57,Private room,2,-9.14946,38.734190000000005,Lisbon,Avenidas Novas
9030,530.72,Entire home,6,-9.14569,38.73398,Lisbon,Avenidas Novas
9031,129.92,Private room,3,-9.151,38.736,Lisbon,Avenidas Novas
9032,100.84,Private room,2,-9.14706,38.73921,Lisbon,Avenidas Novas
9033,100.84,Private room,2,-9.14665,38.74116,Lisbon,Avenidas Novas
9034,100.84,Private room,2,-9.14722,38.73933,Lisbon,Avenidas Novas
9035,100.84,Private room,2,-9.14657,38.74083,Lisbon,Avenidas Novas
9036,124.3,Private room,2,-9.14726,38.74053,Lisbon,Avenidas Novas
9037,113.74,Private room,2,-9.14289,38.74305,Lisbon,Areeiro
9038,217.17,Entire home,2,-9.13551,38.72779,Lisbon,Arroios
9039,251.88,Private room,3,-9.14768,38.741890000000005,Lisbon,Avenidas Novas
9040,205.44,Private room,3,-9.14637,38.74134,Lisbon,Avenidas Novas
9041,124.3,Private room,2,-9.14969,38.73401,Lisbon,Avenidas Novas
9042,307.69,Entire home,6,-9.14869,38.73359,Lisbon,Avenidas Novas
9043,240.38,Entire home,4,-9.13489,38.72979,Lisbon,Arroios
9044,263.6,Entire home,5,-9.14054,38.74178,Lisbon,Areeiro
9045,100.84,Private room,2,-9.148,38.739,Lisbon,Avenidas Novas
9046,100.84,Private room,2,-9.14872,38.73833,Lisbon,Avenidas Novas
9047,147.28,Private room,3,-9.14917,38.73799,Lisbon,Avenidas Novas
9048,100.84,Private room,2,-9.14898,38.73815,Lisbon,Avenidas Novas
9049,217.17,Entire home,6,-9.16678,38.70416,Lisbon,Estrela
9050,191.37,Private room,2,-9.14606,38.73512,Lisbon,Avenidas Novas
9051,186.91,Private room,2,-9.14813,38.7376,Lisbon,Avenidas Novas
9052,182.22,Private room,2,-9.14896,38.73646,Lisbon,Avenidas Novas
9053,131.1,Private room,2,-9.139,38.733,Lisbon,Arroios
9054,131.1,Private room,2,-9.139,38.733,Lisbon,Arroios
9055,138.37,Private room,2,-9.14784,38.73935,Lisbon,Avenidas Novas
9056,128.28,Private room,2,-9.14875,38.73901,Lisbon,Avenidas Novas
